Student,D.Age,D.Gender,D.CommuteTime,D.LiveWithFamily,D.FamilySize,D.MotherQual,D.FatherQual,D.ParentsRelStatus,D.QualSibling,D.FamilyInvolvement,D.Corporate,D.Engineer,D.Scientist,D.Healthcare,D.Technician,D.Artist,D.CivilServant,D.Entrepreneur,D.Politician,D.Teacher,D.SocioeconomicStatus,D.StudentOutsideJob,D.ReadWriteMovie,D.MusicDanceDrama,D.ArtsCrafts,D.Sports,D.Gaming,D.Cooking,D.Gardening,S.Relationship,S.GroupStudyHours,S.FriendsSupport,S.FamilySupport,S.UniversitySupport,S.ResidenceSupport,S.ExtraCurricularClub,A.CourseTeacherFiles,A.Textbooks,A.Videos,A.Websites,A.AI,A.ResoursesTime,A.LMSTime,A.CP,A.Scholarship,A.UOOPGrade
1,22,1,3,2,6,2,2,1,1,3,1,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,2,7,3,5,3,3,2,1,1,1,1,1,3,5,2,2,A
2,22,2,1,1,5,3,2,2,3,3,0,0,1,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,1,3,5,5,4,4,2,0,1,0,1,0,16,6,1,2,A-
3,20,1,2,1,4,2,2,1,2,5,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,4,3,4,4,3,1,1,0,0,1,0,15,5,1,1,B+
4,24,2,1,2,5,3,3,1,3,2,0,0,0,0,0,0,1,0,1,0,3,2,1,1,0,0,0,0,0,1,3,4,4,3,3,2,0,0,0,0,1,18,4,1,1,A-
5,21,1,2,2,3,2,3,1,2,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,2,2,2,2,3,2,1,1,1,0,0,0,12,3,2,2,D
6,23,2,5,1,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,1,0,0,0,1,1,4,5,3,5,4,1,1,1,0,0,0,20,6,2,1,A-
7,22,1,5,2,3,1,3,1,2,4,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,2,5,4,5,5,4,2,0,1,1,1,0,4,4,2,2,B-
8,20,1,1,1,3,3,3,2,1,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,1,1,0,1,5,4,4,3,4,1,0,1,0,0,0,11,4,2,2,A-
9,19,1,5,2,4,2,2,1,2,5,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,1,0,0,0,2,4,4,5,5,4,1,1,1,1,0,0,5,5,2,1,B
10,21,1,3,1,4,2,3,1,1,1,1,1,0,1,1,0,0,0,0,0,2,2,1,1,0,1,1,0,0,2,12,5,2,1,1,2,1,0,1,1,0,4,3,2,2,B
